case_id,dice,iou,category,primary_group,suggested_action,review_decision,corrected_mask_path,reviewer,reviewed_at,notes
tn3k_roi_0359,0.8538030103588393,0.7449007614530021,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0300,0.8593087974207884,0.7533228935910168,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0222,0.8606581892061921,0.7553994605065445,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0562,0.8617148028052183,0.7570289106182262,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0443,0.8668076991214998,0.7649255103917602,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0231,0.86729061675066,0.7656779661016949,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0004,0.8679307210664512,0.7666763308726778,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0330,0.8680191772590106,0.7668143839726723,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0362,0.8696584815128422,0.769376747902517,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0450,0.8708597651504927,0.7712591742570943,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0497,0.8714796927731875,0.772232176233259,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0379,0.8751986538281761,0.778091755319149,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0176,0.8772627155117851,0.7813606331882653,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0434,0.8820241033831857,0.7889473342424833,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0308,0.8852022243908484,0.7940473543797243,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0068,0.8860520935194239,0.7954160947425544,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0174,0.8879584261321455,0.7984939115573595,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0051,0.8890359697579105,0.800238302552587,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0480,0.8893101500219698,0.8006827018717786,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0063,0.8929959463412596,0.8066781177447668,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0382,0.8939099235199698,0.8081710002902361,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
tn3k_roi_0054,0.8941549868643899,0.8085717042110848,multi_region_gt_partial,label_or_task_review,verify_image_label_alignment_and_task_definition,,,,,
